Unnamed: 0,Title,Rating,Votes,Duration,Genre
165,181. Dikkie Dik en de Verdwenen Knuffel,7.2, (129),1h 2m,Animation
166,182. Pui Pui Molcar the Movie: Molmax,7.0, (7),1h 9m,Animation
167,"183. Silex and the City, le film",4.9, (50),1h 17m,Animation
168,185. Askepote,3.5, (80),1h 12m,Animation
169,186. Nothing Unusual,9.7, (12),1h 32m,Animation
170,191. The Umbrella Fairy,5.6, (49),1h 35m,Animation
171,192. Motu Patlu & The Race to the Diamond Valley,7.8, (27),1h 12m,Animation
172,194. Appu,8.6, (181),1h 32m,Animation
173,195. Uma & Haggen: Mitos,7.5, (46),1h 34m,Animation
174,197. Bob a Bobek ve filmu: Na stope Mrkvojeda,8.7, (18),1h 20m,Animation
175,198. Formula vody,4.5, (27),1h 26m,Animation
176,199. Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,7.0, (10),59m,Animation
177,200. Max Beyond,6.6, (17),1h 33m,Animation
178,201. Mobile Suit Gundam: Silver Phantom,6.1, (13),1h 30m,Animation
179,202. Code Geass: Rozé of the Recapture - Part 1,7.7, (41),1h 14m,Animation
180,204. Animal Tales of Christmas Magic,6.8, (50),1h 12m,Animation
181,205. Rocket Club: Across the Cosmos,8.4, (19),1h 8m,Animation
182,206. Dead Dead Demon's Dededede Destruction Zenpen,7.0, (137),2h,Animation
183,207. Meitantei Conan Bâsasu Kaitô Kiddo,6.2, (154),1h 21m,Animation
184,208. Code Geass: Rozé of the Recapture: Part 2,8.0, (27),1h 16m,Animation
185,209. Motu Patlu & The Rise of Zombies,6.6, (15),1h 14m,Animation
186,210. The Ballad of Straw Hat Sam,9.2, (10),45m,Animation
187,213. Woolina and the No Birds,8.6, (42),1h 20m,Animation
188,214. Lilla spöket Laban spökar igen,6.1, (24),44m,Animation
189,215. The Greatest Surf Movie in the Universe,5.4, (8),1h 21m,Animation
190,218. Astra,6.8, (8),1h 20m,Animation
191,220. Pleasant Goat and Big Big Wolf: The World Guardians,7.2, (12),1h 36m,Animation
192,221. Ya Boy Kongming! Road to Summer Sonia,7.5, (39),1h 59m,Animation
193,"222. Hey, Tete",6.4, (9),2h 31m,Animation
194,223. Day of the Diesels,7.2, (9),1h 40m,Animation
195,224. The Delegator,4.2, (17),1h 36m,Animation
196,225. Gujeyeog-eseo sal-a dol-aon dwaeji,5.2, (5),1h 45m,Animation
197,228. Bizarros Peixes das Fossas Abissais,8.4, (8),1h 15m,Animation
198,231. Tobias and the Arcane Merchant,9.0, (43),2h 47m,Animation
199,234. Bloody Escape,6.1, (25),1h 40m,Animation
200,237. Sirds likums,6.8, (17),1h 5m,Animation
201,238. Arne Alligator och djungelkompisarna,4.6, (48),1h 1m,Animation
202,239. Zuzubalândia: O Filme,5.6, (10),1h,Animation
203,241. Code Geass: Rozé of the Recapture: Part 3,7.6, (24),1h 16m,Animation
204,242. Terra Incognita 1901,9.2, (14),1h 18m,Animation
205,249. The Car Acrobatic Team Saga,8.0, (9),1h 52m,Animation
206,250. Ugly Sweater,7.1, (13),1h 20m,Animation
207,251. Velký Pán,7.0, (8),1h 13m,Animation
208,252. Sunburnt Unicorn,7.4, (9),1h 21m,Animation
209,254. Isle: Alpha One,8.4, (7),1h 37m,Animation
210,258. Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.0, (9),50m,Animation
211,267. Let's Go! Anpanman: Baikinman and Lulun,6.5, (7),1h 4m,Animation
212,273. Luv You Shankar,5.8, (43),2h,Animation
213,274. Turbozavry. God drakona,9.2, (43),48m,Animation
214,275. Nasreddin Hoca: Zaman Yolcusu - Kadim Medeniyetler,7.7, (12),1h 18m,Animation
215,278. LUDA,7.2, (6),1h 26m,Animation
216,287. Code Geass: Rozé of the Recapture: Part 4,7.0, (14),1h 10m,Animation
217,293. Ekip: Siberay - Günes Firtinasi,6.0, (14),1h 12m,Animation
218,305. Skazochnyy patrul. Shou prodolzhayetsya,7.2, (11),1h 5m,Animation
219,309. Ninja Doomscrolling,8.1, (102),1h 36m,Animation
220,333. 2475 Dawn of Revolution,6.3, (152),2h 7m,Animation
221,395. Bie ba zuo wen dang hui shi er,7.2, (11),1h 29m,Animation
