Title,Rating,Votes,Duration,Genre
932. Piri Reis: The Incredible Chart,6.8,21,138,Action
938. Dhil Raja,8.7,136,106,Action
945. Siete Vidas - El Levanton,9.6,5,45,Action
947. Isle: Alpha One,8.4,7,97,Action
949. The Domino File,4.7,7,102,Action
951. Hocus Focus,7.9,19,85,Action
953. Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.0,9,50,Action
959. Daanvi,1.7,7,117,Action
961. Gull Lake Vice II: The Delusion Continues,8.2,16,58,Action
967. Jimmy's Friends,7.0,10,94,Action
968. Framed,4.8,68,0,Action
973. Skhvatka,5.2,23,107,Action
"974. La Protegida, La Película",9.3,16,67,Action
980. Travesty,6.4,5,78,Action
982. The Mirage,8.9,10,106,Action
986. AK47,7.2,14,146,Action
987. Kaale Angrej,5.5,17,131,Action
990. Happy Dragons,4.9,9,97,Action
992. Mahserin Üç Delisi,5.9,16,78,Action
998. Speed Fight,6.8,52,87,Action
1002. Passazhiry,4.6,31,80,Action
1003. El Junior Del Patron,7.9,7,92,Action
1004. Kyle and the Last Emerald 2,8.4,7,15,Action
1006. Bad Ass Sista,6.9,8,80,Action
1009. Kyle and the Last Emerald,5.6,17,20,Action
1011. Opasni shmatki,5.2,18,92,Action
1013. Out of the Shadow,6.5,6,89,Action
1014. Jiwa 8 Belas,5.0,19,86,Action
1026. Po du xing dong,6.8,5,79,Action
1032. Combat Code: Hunt,7.4,17,76,Action
1033. Sathyam,7.1,8,134,Action
1034. Full Clip for a Snitch,3.9,18,75,Action
1060. The Vent,8.9,14,3,Action
1068. War with the Evil,6.3,52,85,Action
1069. Pithala Maathi,7.8,848,140,Action
1073. Leha,2.3,42,98,Action
1087. Sesh Bazi,6.2,10,132,Action
1098. El Cartel De Teresa,8.0,9,96,Action
1100. Janna Endoro,8.1,15,120,Action
1109. The End of Hen,9.7,9,67,Action
1117. Give Me Babies,6.7,6,23,Action
1121. Mandya Haida,6.2,236,139,Action
1125. Zen Fist,7.2,8,45,Action
1130. Luna de Hiel,6.0,9,83,Action
1133. The Winter Prophecy,7.9,13,52,Action
1138. Duelo De Capos,7.2,17,83,Action
1143. Los Hijos De Camelia y Emilio,7.1,17,82,Action
1148. Runnin' from Wolves,7.2,10,133,Action
1156. Bush Knife,7.0,7,90,Action
1165. Anger,8.8,18,83,Action
1167. Whispers of the Imperial City,6.8,53,90,Action
